model,acc,time,batch_size,max_memory_usage,mean_power_consumption
4,0.8105263157894737,1.1531076431274414,32,2978.57421875,33.84758333333333
5,0.7473684210526316,1.2539162635803225,1,2906.7890625,35.87254545454545
5,0.7473684210526316,0.945276975631714,4,2905.796875,29.5448
5,0.7473684210526316,0.8835270404815674,8,2896.29296875,32.0444
5,0.7473684210526316,0.8703651428222656,16,2916.4296875,30.7989
5,0.7473684210526316,0.8544256687164307,32,2930.52734375,33.1063
6,0.7263157894736842,1.2624146938323977,1,2925.1875,31.249
6,0.7263157894736842,0.9673221111297609,4,2910.80078125,31.0086
6,0.7263157894736842,0.9238922595977784,8,2907.015625,32.81
6,0.7263157894736842,0.8842916488647461,16,2925.734375,30.8546
6,0.7263157894736842,0.8675315380096436,32,2913.43359375,28.85410000000001
7,0.7473684210526316,1.3502418994903564,1,2913.00390625,31.981909090909088
7,0.7473684210526316,0.9926118850708008,4,2918.75390625,31.6307
7,0.7473684210526316,0.9324588775634766,8,2917.1640625,29.6414
7,0.7473684210526316,0.8974578380584717,16,2918.53125,31.5511
7,0.7473684210526316,0.878643274307251,32,2919.0078125,31.70658333333333
8,0.7789473684210526,1.5016107559204102,1,2922.3671875,30.41575
8,0.7789473684210526,1.0452263355255127,4,2912.3359375,31.784
8,0.7789473684210526,0.953902006149292,8,2946.43359375,32.284636363636366
8,0.7789473684210526,0.9284272193908693,16,2918.015625,32.37654545454545
8,0.7789473684210526,0.9076211452484132,32,2939.50390625,34.040800000000004
9,0.8421052631578947,1.9614779949188232,1,2913.34375,35.207846153846155
9,0.8421052631578947,1.194648027420044,4,2943.453125,35.17658333333333
9,0.8421052631578947,1.143462896347046,8,2951.265625,37.22666666666667
9,0.8421052631578947,1.1045024394989014,16,2911.46484375,35.34858333333333
9,0.8421052631578947,1.0487565994262695,32,2948.2109375,33.174
10,0.8631578947368421,4.736428260803223,1,2981.01171875,71.32427272727273
10,0.8631578947368421,4.572237491607666,4,2970.61328125,69.93436363636363
10,0.8631578947368421,4.472527503967285,8,2964.62890625,71.15042857142858
10,0.8631578947368421,4.410666704177856,16,2983.55859375,71.25800000000001
10,0.8631578947368421,4.441901922225952,32,2958.1171875,71.27795238095239
11,0.7578947368421053,1.7451653480529783,1,2915.56640625,39.52784615384615
11,0.7578947368421053,1.1675901412963867,4,2944.14453125,35.374583333333334
11,0.7578947368421053,1.1324787139892578,8,2942.38671875,34.0125
11,0.7578947368421053,1.0841302871704102,16,2959.18359375,32.433090909090915
11,0.7578947368421053,1.0080652236938477,32,2947.4140625,35.80490909090909
12,0.7894736842105263,1.4475486278533936,1,2937.796875,36.20241666666667
12,0.7894736842105263,1.0676028728485107,4,2942.15625,31.82854545454545
12,0.7894736842105263,1.0059804916381836,8,2938.40234375,32.003166666666665
12,0.7894736842105263,0.9820406436920166,16,2934.1328125,30.3102
12,0.7894736842105263,0.9609100818634032,32,2948.64453125,32.56581818181819
0,0.7157894736842105,0.985692262649536,1,2921.9453125,30.59618181818181
0,0.7157894736842105,0.887284517288208,4,2910.71875,30.5381
0,0.7157894736842105,0.861431360244751,8,2910.265625,31.3166
0,0.7157894736842105,0.8534843921661377,16,2909.82421875,29.7264
0,0.7157894736842105,0.8354322910308838,32,2923.7265625,32.2184
1,0.7684210526315789,1.1466293334960938,1,2901.953125,33.882416666666664
1,0.7684210526315789,0.9413449764251708,4,2924.66015625,31.437272727272727
1,0.7684210526315789,0.9277098178863524,8,2916.38671875,31.311
1,0.7684210526315789,0.8835856914520264,16,2904.9453125,32.67554545454545
1,0.7684210526315789,0.8607785701751709,32,2906.23046875,34.175
2,0.8,1.316884994506836,1,2908.03515625,35.00483333333334
2,0.8,1.0456719398498535,4,2921.0234375,32.62527272727273
2,0.8,1.003469467163086,8,2926.9375,34.07718181818182
2,0.8,0.980804681777954,16,2945.12109375,34.33681818181818
2,0.8,0.9351706504821776,32,2953.0625,34.17018181818182
3,0.7684210526315789,1.8130533695220947,1,2940.31640625,37.27792307692308
3,0.7684210526315789,1.1757969856262207,4,2944.0234375,36.46283333333334
3,0.7684210526315789,1.1394119262695312,8,2915.86328125,35.548833333333334
3,0.7684210526315789,1.0886273384094238,16,2952.48828125,34.20916666666667
3,0.7684210526315789,1.043421506881714,32,2929.58203125,35.49658333333334
4,0.8105263157894737,2.340839385986328,1,2971.47265625,39.62686666666666
4,0.8105263157894737,1.3151566982269287,4,2965.203125,36.28246153846154
4,0.8105263157894737,1.231550693511963,8,2949.4375,37.10246153846154
4,0.8105263157894737,1.200261116027832,16,2955.91796875,37.05169230769231
